s3url   id  filename    md5 size    state   experimental_strategy
s3://uchig-genomics-pipeline-us-east-1/bioinformatics_scratch/shenglai/binf389/COLO-829.bam None    COLO-829.bam    7d992fa77fcd89a5f6f10893ea99d7fa    16346379954 live  WGS
s3://uchig-genomics-pipeline-us-east-1/bioinformatics_scratch/shenglai/binf389/COLO-829-BL.bam  None    COLO-829-BL.bam 2f9edad65c7bdcd56cf3ea90bc9a196f    11651533437 live  WGS
s3://uchig-genomics-pipeline-us-east-1/wgs/ccle_cghub_protected/55c6e4a3-057a-4a55-a2af-b7f113422d3a/D4491.Solexa-178364.2.bam    ee04ea82-3604-4cdd-b2d8-9c8a3de9ba38  D4491.Solexa-178364.2.bam   21e90238c1fc651618b57a290d60e5c0    322760019093    live    WGS
s3://uchig-genomics-pipeline-us-east-1/wgs/ccle_cghub_protected_3/84a23558-26b3-42f4-a9f3-d83d118f2327/G31860.HCC1954.6.bam    65381caa-94d6-4a2f-8d1c-a80c6493c401 G31860.HCC1954.6.bam    6b4843033caf77b3995a19fcac440d0d    406467012699    live    WGS
s3://uchig-genomics-pipeline-us-east-1/wgs/ccle_cghub_protected_3/c72531e9-0e79-91c5-e040-ad451e411a96/G15509.K-562.2.bam    b5cc3b41-ce83-478a-a8da-c59cf589077e   G15509.K-562.2.bam  83332243960c5320f0d66b206f3284c8    226333347850    live    WGS
s3://uchig-genomics-pipeline-us-east-1/wgs/ccle_cghub_protected_3/dc9dd275-7e93-4ce0-838e-47ca7b5751a6/G31860.HCC1143.1.bam    a392a7cb-6edc-4076-93c5-fccb10b01819 G31860.HCC1143.1.bam    b6711842dc3afd1dab8f5004c48f6561    385484044509    live    WGS
s3://uchig-genomics-pipeline-us-east-1/wgs/ccle_cghub_protected_3/c727c60e-8ddd-1ddc-e040-ad451e414a77/G15511.HCC1143.2.bam    d41a889a-5eaa-49fd-b92c-68a0b9f07c87 G15511.HCC1143.2.bam    e2082f22411cba59fef12eeaee23e8cd    493624207033    live    WGS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected_3/04762a0e-fed3-4b9a-98c4-4fc803330d63/C836.MKN74.2.bam eab21de1-bd9f-4916-a8e6-5b3b8540877b    C836.MKN74.2.bam    a00c2303dc1c8821e9a5f348dd7013f5    16936446279 live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected/5c6688a1-ff11-46ed-938f-08d4d99171a5/C836.MJ.2.bam  8c3dbcbe-818c-48bb-8105-ea3107999dac    C836.MJ.2.bam   b8ddbad001ddd5a4963f0adb18e82f79    10813037067 live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected_3/9fc738b5-5451-4b0f-a949-7d9672bf8dd3/C836.SNU-1105.1.bam  a908f78f-fa23-4be2-9b1b-42710a69c1b4    C836.SNU-1105.1.bam c7913a0f2a1c577e8c233a1d7accedf8    9037810959  live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected/a5bf6613-80fd-4230-a282-870dffa09dfc/C836.SNU-1066.4.bam    380e37b5-f5c5-4dee-ba46-9668fe67c210    C836.SNU-1066.4.bam 9f1ddf35a2f920e748f039398ba25f73    23278762857 live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected_3/17853175-429f-4875-a6d0-4ffedea409a1/C836.FTC-238.1.bam   005a752e-cf77-446a-b708-5a28d3a03170    C836.FTC-238.1.bam  44004593810aea7f9819d92dad477028    9218168832  live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected_3/170e77ac-5c8f-4ac2-8168-646181a48a28/C836.Hs_766T.2.bam   0a470930-2ebb-4d7b-a59d-045ed1215fb1    C836.Hs_766T.2.bam  fc420f789cf8d3b60ef72897ce383b6f    12035042999 live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected_3/81838b82-3123-4471-9c01-832c8fc1da9b/C836.PK-1.1.bam  3a8d9e5f-4390-4754-be9d-5484f9b03b83    C836.PK-1.1.bam 26369d2bfcada131be2f427338f2fd0b    11622512210 live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected_3/4708dd7e-0443-4c81-bfbb-ad215b7812d5/C836.HCC1395.2.bam   b200ac58-91e1-4a2b-a396-4cc3118f963b    C836.HCC1395.2.bam  8c5e640426e13f92ef2094358b8695ea    19016645040 live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected_3/8435f7ed-2572-497c-8ff1-a9befeec7024/C836.DV-90.1.bam 232aada6-2001-4359-880a-e630f4287b59    C836.DV-90.1.bam    0aec84822326da83cf101c432ead4cd8    10190305010 live    WXS
s3://uchig-genomics-pipeline-us-east-1/wxs/ccle_cghub_protected_3/a6ea5e15-83b2-4874-86ba-2ab86017fa2d/C836.MDA-MB-415.1.bam    9efa8d39-37e0-4236-9737-e14ddcfd93ff    C836.MDA-MB-415.1.bam   69bc26edb5a72f9caa791ce625b53e61    9714987738  live    WXS
